Date		TIme		Data	Pressure(mb)
2024-05-01	00:00:00	14020	771.7
2024-05-01	00:01:00	13983	771.7
2024-05-01	00:02:00	13569	771.7
2024-05-01	00:03:00	13941	771.7
2024-05-01	00:04:00	14111	771.7
2024-05-01	00:05:00	13770	771.7
2024-05-01	00:06:00	13760	771.7
2024-05-01	00:07:00	13681	771.7
2024-05-01	00:08:00	13561	771.7
2024-05-01	00:09:00	13772	771.7
2024-05-01	00:10:00	13902	771.7
2024-05-01	00:11:00	14024	771.7
2024-05-01	00:12:00	14510	771.7
2024-05-01	00:13:00	14044	771.7
2024-05-01	00:14:00	13603	771.8
2024-05-01	00:15:00	13682	771.8
2024-05-01	00:16:00	13894	771.8
2024-05-01	00:17:00	14083	771.8
2024-05-01	00:18:00	13666	771.8
2024-05-01	00:19:00	13827	771.8
2024-05-01	00:20:00	13654	771.8
2024-05-01	00:21:00	13744	771.8
2024-05-01	00:22:00	13859	771.8
2024-05-01	00:23:00	13761	771.8
2024-05-01	00:24:00	13622	771.9
2024-05-01	00:25:00	13815	771.8
2024-05-01	00:26:00	13818	771.9
2024-05-01	00:27:00	14050	771.9
2024-05-01	00:28:00	14022	771.9
2024-05-01	00:29:00	14314	771.9
2024-05-01	00:30:00	13960	771.9
2024-05-01	00:31:00	13719	772
2024-05-01	00:32:00	13539	772
2024-05-01	00:33:00	13640	772
2024-05-01	00:34:00	13952	772
2024-05-01	00:35:00	13975	772
2024-05-01	00:36:00	13926	772
2024-05-01	00:37:00	13703	772
2024-05-01	00:38:00	13843	772.1
2024-05-01	00:39:00	14136	772.1
2024-05-01	00:40:00	14117	772.1
2024-05-01	00:41:00	14077	772.1
2024-05-01	00:42:00	13985	772.1
2024-05-01	00:43:00	13905	772.1
2024-05-01	00:44:00	13740	772.1
2024-05-01	00:45:00	13804	772.2
2024-05-01	00:46:00	13875	772.2
2024-05-01	00:47:00	13975	772.2
2024-05-01	00:48:00	14001	772.2
2024-05-01	00:49:00	13505	772.2
2024-05-01	00:50:00	13843	772.3
2024-05-01	00:51:00	13730	772.3
2024-05-01	00:52:00	13862	772.3
2024-05-01	00:53:00	13525	772.3
2024-05-01	00:54:00	13798	772.3
2024-05-01	00:55:00	13783	772.3
2024-05-01	00:56:00	13812	772.3
2024-05-01	00:57:00	13484	772.3
2024-05-01	00:58:00	14044	772.3
2024-05-01	00:59:00	14200	772.3
2024-05-01	01:00:00	13923	772.3
2024-05-01	01:01:00	13816	772.3
2024-05-01	01:02:00	13978	772.4
2024-05-01	01:03:00	13539	772.4
2024-05-01	01:04:00	13973	772.4
2024-05-01	01:05:00	14008	772.4
2024-05-01	01:06:00	14029	772.4
2024-05-01	01:07:00	14130	772.4
2024-05-01	01:08:00	13851	772.4
2024-05-01	01:09:00	13884	772.4
2024-05-01	01:10:00	14117	772.4
2024-05-01	01:11:00	13806	772.4
2024-05-01	01:12:00	13828	772.4
2024-05-01	01:13:00	13896	772.4
2024-05-01	01:14:00	13693	772.4
2024-05-01	01:15:00	13833	772.4
2024-05-01	01:16:00	13971	772.4
2024-05-01	01:17:00	13689	772.4
2024-05-01	01:18:00	14075	772.4
2024-05-01	01:19:00	14137	772.4
2024-05-01	01:20:00	13769	772.4
2024-05-01	01:21:00	14023	772.4
2024-05-01	01:22:00	14190	772.4
2024-05-01	01:23:00	13668	772.4
2024-05-01	01:24:00	14079	772.4
2024-05-01	01:25:00	13606	772.5
2024-05-01	01:26:00	13782	772.5
2024-05-01	01:27:00	13780	772.5
2024-05-01	01:28:00	13727	772.5
2024-05-01	01:29:00	14109	772.5
2024-05-01	01:30:00	13975	772.5
2024-05-01	01:31:00	13918	772.5
2024-05-01	01:32:00	13688	772.6
2024-05-01	01:33:00	14272	772.6
